Source,Target,Type,Kind,Id,Label,timeset,Weight
@bholarjeee,@real_mercyeke,Directed,Mention,207,,<[2021-05-29T19:46:12.194Z]>,1
@bholarjeee,@real_mercyeke,Directed,Retweet,208,,<[2021-05-29T19:46:12.194Z]>,1
@gprince225,@actufoot_,Directed,Mention,228,,"<[2021-05-29T19:46:13.015Z, 2021-05-29T19:46:19.169Z]>",2
@gprince225,@rmcstory,Directed,Mention,229,,"<[2021-05-29T19:46:13.015Z, 2021-05-29T19:46:19.169Z]>",2
@gprince225,@actufoot_,Directed,Retweet,230,,"<[2021-05-29T19:46:13.017Z, 2021-05-29T19:46:19.169Z]>",2
@exectom,@chelseafc,Directed,Mention,279,,<[2021-05-29T19:46:13.408Z]>,1
@exectom,@chelseafc,Directed,Retweet,280,,<[2021-05-29T19:46:13.408Z]>,1
@cool4dakiller,@chelseafc,Directed,Mention,331,,<[2021-05-29T19:46:14.179Z]>,1
@cool4dakiller,@chelseafc,Directed,Retweet,332,,<[2021-05-29T19:46:14.180Z]>,1
@sjohnsonsport,@liam_twomey,Directed,Mention,352,,"<[2021-05-29T19:46:15.042Z, 2021-05-29T19:51:52.898Z]>",2
@arjo799002,@chelseafc,Directed,Mention,390,,<[2021-05-29T19:46:15.161Z]>,1
@arjo799002,@chelseafc,Directed,Retweet,391,,<[2021-05-29T19:46:15.161Z]>,1
@teitzeljose,@chelseafc,Directed,Mention,393,,<[2021-05-29T19:46:15.185Z]>,1
@teitzeljose,@chelseafc,Directed,Retweet,394,,<[2021-05-29T19:46:15.185Z]>,1
@richieerr,@liam_twomey,Directed,Mention,395,,<[2021-05-29T19:46:15.206Z]>,1
@richieerr,@liam_twomey,Directed,Retweet,396,,<[2021-05-29T19:46:15.206Z]>,1
@mozziestark,@chelseafc,Directed,Mention,431,,"<[2021-05-29T19:46:15.976Z, 2021-05-29T19:48:00.328Z, 2021-05-29T19:48:15.835Z, 2021-05-29T19:53:02.745Z]>",4
@mozziestark,@chelseafc,Directed,Retweet,432,,"<[2021-05-29T19:46:15.976Z, 2021-05-29T19:48:15.836Z, 2021-05-29T19:53:02.745Z]>",3
@dejiplus,@chelseafc,Directed,Mention,451,,<[2021-05-29T19:46:15.988Z]>,1
@dejiplus,@chelseafc,Directed,Retweet,452,,<[2021-05-29T19:46:15.988Z]>,1
